"","X.attribute.medIncome.numeric","X.attribute.PctUnemployed.numeric","X.attribute.PctFam2Par.numeric","X.attribute.PctLargHouseOccup.numeric","X.attribute.RentMedian.numeric","X.attribute.NumStreet.numeric","X.attribute.NumInShelters.numeric","X.attribute.PolicPerPop.numeric","X.attribute.agePct12t29.numeric","X.attribute.PopDens.numeric","X.attribute.NumKindsDrugsSeiz.numeric","X.attribute.ViolentCrimesPerPop.numeric"
"1",0.37,0.27,0.55,0.13,0.35,0,0.04,"0.13",0.47,0.26,"0.57",0.2
"17",0.22,0.37,0.2,0.13,0.32,0.02,0.23,"0.3",0.72,0.39,"0.64",0.49
"21",0.33,0.59,0.6,0.39,0.4,0.09,0.12,"0.08",0.48,0.46,"0.57",0.34
"22",0.28,0.3,0.53,0.2,0.28,0.36,0.39,"0.16",0.53,0.07,"0.57",0.69
"24",0.22,0.33,0.59,0.24,0.17,0.01,0.05,"0.11",0.48,0.12,"0.86",0.63
"34",0.2,0.36,0.41,0.16,0.18,0,0.03,"0.19",0.56,0.11,"0.5",0.31
"36",0.19,0.45,0.47,0.12,0.17,0.01,0.05,"0.17",0.46,0.26,"0.5",0.24
"51",0.24,0.54,0.44,0.14,0.19,0,0.04,"0.2",0.48,0.26,"0.29",0.2
"52",0.38,0.44,0.59,0.53,0.47,0.03,0.1,"0.39",0.6,0.24,"0.57",0.68
"57",0.5,0.25,0.62,0.24,0.6,0.01,0.03,"0.11",0.49,0.32,"0.64",0.22
"59",0.34,0.33,0.58,0.16,0.25,0.09,0.17,"0.16",0.55,0.08,"0.5",0.55
"69",0.28,0.75,0.42,0.56,0.44,0,0.01,"0.28",0.55,0.73,"0.79",0.5
"75",0.41,0.3,0.56,0.16,0.4,0.01,0.02,"0.19",0.48,0.21,"0.21",0.14
"78",0.11,0.89,0.36,0.4,0.13,0,0.01,"0.16",0.43,0.06,"0.57",0.68
"79",0.15,0.62,0.42,0.22,0.16,0.13,0.05,"0.14",0.43,0.23,"0.07",0.7
"80",0.36,0.26,0.56,0.15,0.33,0,0.03,"0.14",0.52,0.14,"0.79",0.75
"81",0.41,0.4,0.47,0.31,0.44,0.02,0.15,"0.28",0.45,0.87,"0.64",0.3
"82",0.2,0.54,0.51,0.39,0.18,0.14,0.12,"0.13",0.54,0.2,"0",0.24
"96",0.37,0.49,0.58,0.2,0.55,0.01,0.07,"0.21",0.53,0.89,"0.07",0.37
"100",0.33,0.45,0.57,0.13,0.42,0,0.09,"0.15",0.56,0.25,"0.43",0.09
"101",0.21,0.61,0.59,0.22,0.22,0,0.04,"0.15",0.59,0.13,"0.43",0.39
"103",0.26,0.37,0.54,0.18,0.39,0.22,0.05,"0.21",0.33,0.37,"0.79",0.34
"104",0.22,0.42,0.62,0.24,0.21,0.05,0.16,"0.13",0.47,0.15,"0.79",0.28
"110",0.17,0.53,0.45,0.25,0.25,0.23,0.26,"0.15",0.6,0.22,"0.57",0.4
"114",0.54,0.24,0.59,0.25,0.75,0,0.07,"0.13",0.61,0.43,"0.93",0.2
"117",0.3,0.68,0.28,0.79,0.53,0.22,0.01,"0.17",0.62,1,"0.36",0.86
"120",0.4,0.27,0.52,0.1,0.46,0.84,0.19,"0.17",0.34,0.88,"0.57",0.68
"135",0.47,0.26,0.76,0.17,0.5,0,0,"0.18",0.37,0.53,"0.43",0.08
"146",0.29,0.73,0.39,0.38,0.45,0.11,0.11,"0.17",0.63,0.63,"0.43",0.53
